adm1,adm2,date_tested,age_group,conf,pop,incidence
Central,Buoadara,2018-01-01,total,215,201807.175386429,106.53734169179506
Central,Buoadara,2018-01-01,u5,106,32875.1243534088,322.43224043959833
Central,Buoadara,2018-01-01,ov5,109,168932.05103302,64.52298384673878
Central,Buoadara,2018-02-01,total,106,201807.175386429,52.52538706665245
Central,Buoadara,2018-02-01,u5,50,32875.1243534088,152.09067945264073
Central,Buoadara,2018-02-01,ov5,56,168932.05103302,33.14942289373735
Central,Buoadara,2018-03-01,total,75,201807.175386429,37.16418896225409
Central,Buoadara,2018-03-01,u5,32,32875.1243534088,97.33803484969005
Central,Buoadara,2018-03-01,ov5,43,168932.05103302,25.454021150548325
Central,Buoadara,2018-04-01,total,107,201807.175386429,53.02090958614917
Central,Buoadara,2018-04-01,u5,43,32875.1243534088,130.797984329271
Central,Buoadara,2018-04-01,ov5,64,168932.05103302,37.88505473569983
Central,Buoadara,2018-05-01,total,68,201807.175386429,33.69553132577704
Central,Buoadara,2018-05-01,u5,28,32875.1243534088,85.1707804934788
Central,Buoadara,2018-05-01,ov5,40,168932.05103302,23.678159209812396
Central,Buoadara,2018-06-01,total,188,201807.175386429,93.15823366538358
Central,Buoadara,2018-06-01,u5,81,32875.1243534088,246.38690071327795
Central,Buoadara,2018-06-01,ov5,107,168932.05103302,63.33907588624816
Central,Buoadara,2018-07-01,total,572,201807.175386429,283.4388811521245
Central,Buoadara,2018-07-01,u5,283,32875.1243534088,860.8332457019463
Central,Buoadara,2018-07-01,ov5,289,168932.05103302,171.07470029089455
Central,Buoadara,2018-08-01,total,406,201807.175386429,201.1821429156688
Central,Buoadara,2018-08-01,u5,156,32875.1243534088,474.522919892239
Central,Buoadara,2018-08-01,ov5,250,168932.05103302,147.98849506132748
Central,Buoadara,2018-09-01,total,925,201807.175386429,458.3583305344671
Central,Buoadara,2018-09-01,u5,392,32875.1243534088,1192.3909269087032
Central,Buoadara,2018-09-01,ov5,533,168932.05103302,315.51147147075017
Central,Buoadara,2018-10-01,total,387,201807.175386429,191.7672150452311
Central,Buoadara,2018-10-01,u5,178,32875.1243534088,541.442818851401
Central,Buoadara,2018-10-01,ov5,209,168932.05103302,123.71838187126977
Central,Buoadara,2018-11-01,total,515,201807.175386429,255.1940975408114
Central,Buoadara,2018-11-01,u5,233,32875.1243534088,708.7425662493057
Central,Buoadara,2018-11-01,ov5,282,168932.05103302,166.9310224291774
Central,Buoadara,2018-12-01,total,175,201807.175386429,86.7164409119262
Central,Buoadara,2018-12-01,u5,86,32875.1243534088,261.595968658542
Central,Buoadara,2018-12-01,ov5,89,168932.05103302,52.68390424183258
Central,Laoye,2018-01-01,total,392,29710.2580451965,1319.4096106592983
Central,Laoye,2018-01-01,u5,159,5282.14207077026,3010.142435960911
Central,Laoye,2018-01-01,ov5,233,24428.1159744263,953.8189528980737
Central,Laoye,2018-02-01,total,441,29710.2580451965,1484.3358119917107
Central,Laoye,2018-02-01,u5,180,5282.14207077026,3407.7084180689553
Central,Laoye,2018-02-01,ov5,261,24428.1159744263,1068.4409729888293
Central,Laoye,2018-03-01,total,446,29710.2580451965,1501.1650162093038
Central,Laoye,2018-03-01,u5,185,5282.14207077026,3502.366985237538
Central,Laoye,2018-03-01,ov5,261,24428.1159744263,1068.4409729888293
Central,Laoye,2018-04-01,total,412,29710.2580451965,1386.7264275296707
Central,Laoye,2018-04-01,u5,196,5282.14207077026,3710.615833008418
Central,Laoye,2018-04-01,ov5,216,24428.1159744263,884.2270121286864
Central,Laoye,2018-05-01,total,393,29710.2580451965,1322.7754515028168
Central,Laoye,2018-05-01,u5,179,5282.14207077026,3388.776704635239
Central,Laoye,2018-05-01,ov5,214,24428.1159744263,876.0397249793467
Central,Laoye,2018-06-01,total,607,29710.2580451965,2043.0653920158013
Central,Laoye,2018-06-01,u5,257,5282.14207077026,4865.45035246512
Central,Laoye,2018-06-01,ov5,350,24428.1159744263,1432.7752511344456
Central,Laoye,2018-07-01,total,777,29710.2580451965,2615.258335413966
Central,Laoye,2018-07-01,u5,318,5282.14207077026,6020.284871921822
Central,Laoye,2018-07-01,ov5,459,24428.1159744263,1878.9824007734585
Central,Laoye,2018-08-01,total,315,29710.2580451965,1060.2398657083647
Central,Laoye,2018-08-01,u5,110,5282.14207077026,2082.4884777088064
Central,Laoye,2018-08-01,ov5,205,24428.1159744263,839.196932807318
Central,Laoye,2018-09-01,total,1603,29710.2580451965,5395.442872160345
Central,Laoye,2018-09-01,u5,557,5282.14207077026,10544.964382580047
Central,Laoye,2018-09-01,ov5,1046,24428.1159744263,4281.951179104657
Central,Laoye,2018-10-01,total,1968,29710.2580451965,6623.97478004464
Central,Laoye,2018-10-01,u5,622,5282.14207077026,11775.525755771612
Central,Laoye,2018-10-01,ov5,1346,24428.1159744263,5510.04425150561
Central,Laoye,2018-11-01,total,272,29710.2580451965,915.5087094370641
Central,Laoye,2018-11-01,u5,90,5282.14207077026,1703.8542090344777
Central,Laoye,2018-11-01,ov5,182,24428.1159744263,745.0431305899116
Central,Laoye,2018-12-01,total,1149,29710.2580451965,3867.3511292028925
Central,Laoye,2018-12-01,u5,452,5282.14207077026,8557.134472039823
Central,Laoye,2018-12-01,ov5,697,24428.1159744263,2853.2695715448817
Central,Mbono,2018-01-01,total,356,273.186252593994,130314.02445022837
Central,Mbono,2018-01-01,u5,113,48.5693702697754,232656.91807892272
Central,Mbono,2018-01-01,ov5,243,224.616882324219,108184.21014732376
Central,Mbono,2018-02-01,total,1066,273.186252593994,390209.97208972875
Central,Mbono,2018-02-01,u5,360,48.5693702697754,741207.8806054175
Central,Mbono,2018-02-01,ov5,706,224.616882324219,314312.97269140155
Central,Mbono,2018-03-01,total,894,273.186252593994,327249.2636474836
Central,Mbono,2018-03-01,u5,331,48.5693702697754,681499.4680010923
Central,Mbono,2018-03-01,ov5,563,224.616882324219,250649.0136335114
Central,Mbono,2018-04-01,total,1120,273.186252593994,409976.70613554993
Central,Mbono,2018-04-01,u5,495,48.5693702697754,1019160.835832449
Central,Mbono,2018-04-01,ov5,625,224.616882324219,278251.5693089603
